Date,CSUSHPINSA
2020-12-27,234.371
2020-12-28,234.371
2020-12-29,234.371
2020-12-30,234.371
2020-12-31,234.371
2021-01-01,236.442
2021-01-02,236.442
2021-01-03,236.442
2021-01-04,236.442
2021-01-05,236.442
2021-01-06,236.442
2021-01-07,236.442
2021-01-08,236.442
2021-01-09,236.442
2021-01-10,236.442
2021-01-11,236.442
2021-01-12,236.442
2021-01-13,236.442
2021-01-14,236.442
2021-01-15,236.442
2021-01-16,236.442
2021-01-17,236.442
2021-01-18,236.442
2021-01-19,236.442
2021-01-20,236.442
2021-01-21,236.442
2021-01-22,236.442
2021-01-23,236.442
2021-01-24,236.442
2021-01-25,236.442
2021-01-26,236.442
2021-01-27,236.442
2021-01-28,236.442
2021-01-29,236.442
2021-01-30,236.442
2021-01-31,236.442
2021-02-01,239.221
2021-02-02,239.221
2021-02-03,239.221
2021-02-04,239.221
2021-02-05,239.221
2021-02-06,239.221
2021-02-07,239.221
2021-02-08,239.221
2021-02-09,239.221
2021-02-10,239.221
2021-02-11,239.221
2021-02-12,239.221
2021-02-13,239.221
2021-02-14,239.221
2021-02-15,239.221
2021-02-16,239.221
2021-02-17,239.221
2021-02-18,239.221
2021-02-19,239.221
2021-02-20,239.221
2021-02-21,239.221
2021-02-22,239.221
2021-02-23,239.221
2021-02-24,239.221
2021-02-25,239.221
2021-02-26,239.221
2021-02-27,239.221
2021-02-28,239.221
2021-03-01,244.216
2021-03-02,244.216
2021-03-03,244.216
2021-03-04,244.216
2021-03-05,244.216
2021-03-06,244.216
2021-03-07,244.216
2021-03-08,244.216
2021-03-09,244.216
2021-03-10,244.216
2021-03-11,244.216
2021-03-12,244.216
2021-03-13,244.216
2021-03-14,244.216
2021-03-15,244.216
2021-03-16,244.216
2021-03-17,244.216
2021-03-18,244.216
2021-03-19,244.216
2021-03-20,244.216
2021-03-21,244.216
2021-03-22,244.216
2021-03-23,244.216
2021-03-24,244.216
2021-03-25,244.216
2021-03-26,244.216
2021-03-27,244.216
2021-03-28,244.216
2021-03-29,244.216
2021-03-30,244.216
2021-03-31,244.216
2021-04-01,249.824
2021-04-02,249.824
2021-04-03,249.824
2021-04-04,249.824
2021-04-05,249.824
2021-04-06,249.824
2021-04-07,249.824
2021-04-08,249.824
2021-04-09,249.824
2021-04-10,249.824
2021-04-11,249.824
2021-04-12,249.824
2021-04-13,249.824
2021-04-14,249.824
2021-04-15,249.824
2021-04-16,249.824
2021-04-17,249.824
2021-04-18,249.824
2021-04-19,249.824
2021-04-20,249.824
2021-04-21,249.824
2021-04-22,249.824
2021-04-23,249.824
2021-04-24,249.824
2021-04-25,249.824
2021-04-26,249.824
2021-04-27,249.824
2021-04-28,249.824
2021-04-29,249.824
2021-04-30,249.824
2021-05-01,255.449
2021-05-02,255.449
2021-05-03,255.449
2021-05-04,255.449
2021-05-05,255.449
2021-05-06,255.449
2021-05-07,255.449
2021-05-08,255.449
2021-05-09,255.449
2021-05-10,255.449
2021-05-11,255.449
2021-05-12,255.449
2021-05-13,255.449
2021-05-14,255.449
2021-05-15,255.449
2021-05-16,255.449
2021-05-17,255.449
2021-05-18,255.449
2021-05-19,255.449
2021-05-20,255.449
2021-05-21,255.449
2021-05-22,255.449
2021-05-23,255.449
2021-05-24,255.449
2021-05-25,255.449
2021-05-26,255.449
2021-05-27,255.449
2021-05-28,255.449
2021-05-29,255.449
2021-05-30,255.449
2021-05-31,255.449
2021-06-01,261.174
2021-06-02,261.174
2021-06-03,261.174
2021-06-04,261.174
2021-06-05,261.174
2021-06-06,261.174
2021-06-07,261.174
2021-06-08,261.174
2021-06-09,261.174
2021-06-10,261.174
2021-06-11,261.174
2021-06-12,261.174
2021-06-13,261.174
2021-06-14,261.174
2021-06-15,261.174
2021-06-16,261.174
2021-06-17,261.174
2021-06-18,261.174
2021-06-19,261.174
2021-06-20,261.174
2021-06-21,261.174
2021-06-22,261.174
2021-06-23,261.174
2021-06-24,261.174
2021-06-25,261.174
2021-06-26,261.174
2021-06-27,261.174
2021-06-28,261.174
2021-06-29,261.174
2021-06-30,261.174
2021-07-01,265.512
2021-07-02,265.512
2021-07-03,265.512
2021-07-04,265.512
2021-07-05,265.512
2021-07-06,265.512
2021-07-07,265.512
2021-07-08,265.512
2021-07-09,265.512
2021-07-10,265.512
2021-07-11,265.512
2021-07-12,265.512
2021-07-13,265.512
2021-07-14,265.512
2021-07-15,265.512
2021-07-16,265.512
2021-07-17,265.512
2021-07-18,265.512
2021-07-19,265.512
2021-07-20,265.512
2021-07-21,265.512
2021-07-22,265.512
2021-07-23,265.512
2021-07-24,265.512
2021-07-25,265.512
2021-07-26,265.512
2021-07-27,265.512
2021-07-28,265.512
2021-07-29,265.512
2021-07-30,265.512
2021-07-31,265.512
2021-08-01,268.788
2021-08-02,268.788
2021-08-03,268.788
2021-08-04,268.788
2021-08-05,268.788
2021-08-06,268.788
2021-08-07,268.788
2021-08-08,268.788
2021-08-09,268.788
2021-08-10,268.788
2021-08-11,268.788
2021-08-12,268.788
2021-08-13,268.788
2021-08-14,268.788
2021-08-15,268.788
2021-08-16,268.788
2021-08-17,268.788
2021-08-18,268.788
2021-08-19,268.788
2021-08-20,268.788
2021-08-21,268.788
2021-08-22,268.788
2021-08-23,268.788
2021-08-24,268.788
2021-08-25,268.788
2021-08-26,268.788
2021-08-27,268.788
2021-08-28,268.788
2021-08-29,268.788
2021-08-30,268.788
2021-08-31,268.788
2021-09-01,271.442
2021-09-02,271.442
2021-09-03,271.442
2021-09-04,271.442
2021-09-05,271.442
2021-09-06,271.442
2021-09-07,271.442
2021-09-08,271.442
2021-09-09,271.442
2021-09-10,271.442
2021-09-11,271.442
2021-09-12,271.442
2021-09-13,271.442
2021-09-14,271.442
2021-09-15,271.442
2021-09-16,271.442
2021-09-17,271.442
2021-09-18,271.442
2021-09-19,271.442
2021-09-20,271.442
2021-09-21,271.442
2021-09-22,271.442
2021-09-23,271.442
2021-09-24,271.442
2021-09-25,271.442
2021-09-26,271.442
2021-09-27,271.442
2021-09-28,271.442
2021-09-29,271.442
2021-09-30,271.442
2021-10-01,273.652
2021-10-02,273.652
2021-10-03,273.652
2021-10-04,273.652
2021-10-05,273.652
2021-10-06,273.652
2021-10-07,273.652
2021-10-08,273.652
2021-10-09,273.652
2021-10-10,273.652
2021-10-11,273.652
2021-10-12,273.652
2021-10-13,273.652
2021-10-14,273.652
2021-10-15,273.652
2021-10-16,273.652
2021-10-17,273.652
2021-10-18,273.652
2021-10-19,273.652
2021-10-20,273.652
2021-10-21,273.652
2021-10-22,273.652
2021-10-23,273.652
2021-10-24,273.652
2021-10-25,273.652
2021-10-26,273.652
2021-10-27,273.652
2021-10-28,273.652
2021-10-29,273.652
2021-10-30,273.652
2021-10-31,273.652
2021-11-01,276.022
2021-11-02,276.022
2021-11-03,276.022
2021-11-04,276.022
2021-11-05,276.022
2021-11-06,276.022
2021-11-07,276.022
2021-11-08,276.022
2021-11-09,276.022
2021-11-10,276.022
2021-11-11,276.022
2021-11-12,276.022
2021-11-13,276.022
2021-11-14,276.022
2021-11-15,276.022
2021-11-16,276.022
2021-11-17,276.022
2021-11-18,276.022
2021-11-19,276.022
2021-11-20,276.022
2021-11-21,276.022
2021-11-22,276.022
2021-11-23,276.022
2021-11-24,276.022
2021-11-25,276.022
2021-11-26,276.022
2021-11-27,276.022
2021-11-28,276.022
2021-11-29,276.022
2021-11-30,276.022
2021-12-01,278.593
2021-12-02,278.593
2021-12-03,278.593
2021-12-04,278.593
2021-12-05,278.593
2021-12-06,278.593
2021-12-07,278.593
2021-12-08,278.593
2021-12-09,278.593
2021-12-10,278.593
2021-12-11,278.593
2021-12-12,278.593
2021-12-13,278.593
2021-12-14,278.593
2021-12-15,278.593
2021-12-16,278.593
2021-12-17,278.593
2021-12-18,278.593
2021-12-19,278.593
2021-12-20,278.593
2021-12-21,278.593
2021-12-22,278.593
2021-12-23,278.593
2021-12-24,278.593
2021-12-25,278.593
2021-12-26,278.593
2021-12-27,278.593
2021-12-28,278.593
2021-12-29,278.593
2021-12-30,278.593
2021-12-31,278.593
2022-01-01,281.963
2022-01-02,281.963
2022-01-03,281.963
2022-01-04,281.963
2022-01-05,281.963
2022-01-06,281.963
2022-01-07,281.963
2022-01-08,281.963
2022-01-09,281.963
2022-01-10,281.963
2022-01-11,281.963
2022-01-12,281.963
2022-01-13,281.963
2022-01-14,281.963
2022-01-15,281.963
2022-01-16,281.963
2022-01-17,281.963
2022-01-18,281.963
2022-01-19,281.963
2022-01-20,281.963
2022-01-21,281.963
2022-01-22,281.963
2022-01-23,281.963
2022-01-24,281.963
2022-01-25,281.963
2022-01-26,281.963
2022-01-27,281.963
2022-01-28,281.963
2022-01-29,281.963
2022-01-30,281.963
2022-01-31,281.963
2022-02-01,287.18
2022-02-02,287.18
2022-02-03,287.18
2022-02-04,287.18
2022-02-05,287.18
2022-02-06,287.18
2022-02-07,287.18
2022-02-08,287.18
2022-02-09,287.18
2022-02-10,287.18
2022-02-11,287.18
2022-02-12,287.18
2022-02-13,287.18
2022-02-14,287.18
2022-02-15,287.18
2022-02-16,287.18
2022-02-17,287.18
2022-02-18,287.18
2022-02-19,287.18
2022-02-20,287.18
2022-02-21,287.18
2022-02-22,287.18
2022-02-23,287.18
2022-02-24,287.18
2022-02-25,287.18
2022-02-26,287.18
2022-02-27,287.18
2022-02-28,287.18
2022-03-01,294.992
2022-03-02,294.992
2022-03-03,294.992
2022-03-04,294.992
2022-03-05,294.992
2022-03-06,294.992
2022-03-07,294.992
2022-03-08,294.992
2022-03-09,294.992
2022-03-10,294.992
2022-03-11,294.992
2022-03-12,294.992
2022-03-13,294.992
2022-03-14,294.992
2022-03-15,294.992
2022-03-16,294.992
2022-03-17,294.992
2022-03-18,294.992
2022-03-19,294.992
2022-03-20,294.992
2022-03-21,294.992
2022-03-22,294.992
2022-03-23,294.992
2022-03-24,294.992
2022-03-25,294.992
2022-03-26,294.992
2022-03-27,294.992
2022-03-28,294.992
2022-03-29,294.992
2022-03-30,294.992
2022-03-31,294.992
2022-04-01,301.639
2022-04-02,301.639
2022-04-03,301.639
2022-04-04,301.639
2022-04-05,301.639
2022-04-06,301.639
2022-04-07,301.639
2022-04-08,301.639
2022-04-09,301.639
2022-04-10,301.639
2022-04-11,301.639
2022-04-12,301.639
2022-04-13,301.639
2022-04-14,301.639
2022-04-15,301.639
